Fecha,Ingresos,Socios,Sucursal,Socios Premium
43891,431254,1062,NH,
43922,264561,730,NH,
43952,179031,493.998095,NH,
43983,135512,599,NH,0.11
44013,166859.5,688,NH,0.13
44044,260997,666,NH,0.12
44075,241668,670,NH,0.13
44105,245341.5,653,NH,0.15
44136,244111,627,NH,0.15
44166,246494,560,NH,0.1625
44197,212584,576,NH,0.1545
44228,264804.75,610,NH,0.1705
44256,396520,676,NH,0.2027
44287,344624.5,724,NH,0.2155
44317,376793.5,762,NH,0.2218
44348,381711.5,795,NH,0.2201
44378,384084,837,NH,0.2162
44409,399679,866,NH,0.2321
44440,480726.5,918,NH,0.2309
44470,418223.5,951,NH,0.2366
44501,445398,970,NH,0.2351
44531,445546,977,NH,0.2303
44562,453453,1067,NH,0.238987816
44593,452159.3,1041,NH,0.223823247
44621,621528.6,1068,NH,0.237827715
44652,487464.3,1067,NH,0.239925023
44682,539869.6,1125,NH,0.253333333
44713,518267.1,1123,NH,0.253784506
44743,530909.8,1164,NH,0.257731959
44774,555233.7,1174,NH,0.254684838
44805,675646.1,1200,NH,0.261666667
44835,585756.4,1189,NH,0.27333894
44866,570666.3,1190,NH,0.28487395
44896,527752.474,1167,NH,0.281385281
44927,,,NH,
44958,,,NH,
44986,,,NH,
43466,2512198.571,3351,Urbania,
43497,2252466.673,3387,Urbania,
43525,2504982.098,3550,Urbania,
43556,2442900.294,3382,Urbania,
43586,2585440.621,3563,Urbania,
43617,2706822.16,3663,Urbania,
43647,2827617.436,3762,Urbania,
43678,2794516.478,3881,Urbania,
43709,2710658.544,3881,Urbania,
43739,2781925.238,3937,Urbania,
43770,2679611.959,3917,Urbania,
43800,2613341.742,3781,Urbania,
43831,3064577.91,3846,Urbania,
43862,2766654.04,3907,Urbania,
43891,2563996.13,3872,Urbania,
43922,1105100.98,1890,Urbania,
43952,251001,429.3815484,Urbania,
43983,740076,2586,Urbania,0.14
44013,1004976.31,2235,Urbania,0.16
44044,1382586.74,1965,Urbania,0.17
44075,1331614.87,1936,Urbania,0.18
44105,1206342.25,1871,Urbania,0.19
44136,1208528.33,1857,Urbania,0.22
44166,1263534.69,1807,Urbania,0.2324
44197,1222403.63,1755,Urbania,0.2479
44228,1332891.16,1852,Urbania,0.2889
44256,1866192.6,2013,Urbania,0.3299
44287,1647408.42,2178,Urbania,0.3627
44317,1875802.92,2277,Urbania,0.3549
44348,1995908.2,2433,Urbania,0.3703
44378,2166064.85,2540,Urbania,0.372
44409,2200658.55,2655,Urbania,0.374
44440,2423193.7,2705,Urbania,0.3612
44470,2158406.68,2502,Urbania,0.3637
44501,2230820.31,2712,Urbania,0.3625
44531,2056849.16,2649,Urbania,0.3635
44562,2232030.06,3030,Urbania,0.380858086
44593,2222420.64,3003,Urbania,0.372960373
44621,2997966.06,3134,Urbania,0.38704531
44652,2563796.86,3251,Urbania,0.406336512
44682,2928993.91,3532,Urbania,0.410815402
44713,2719823.36,3514,Urbania,0.406089926
44743,2797614.26,3483,Urbania,0.40683319
44774,2903321.16,3471,Urbania,0.408527802
44805,3218151.52,3400,Urbania,0.425294118
44835,2682473.97,3311,Urbania,0.426759287
44866,2633158.16,3216,Urbania,0.427860697
44896,2448652.121,3087,Urbania,0.432007697
44927,,,Urbania,
44958,,,Urbania,
44986,,,Urbania,
43709,6650,,Ahualulco,
43739,64487,,Ahualulco,
43770,91652,,Ahualulco,
43800,82321,,Ahualulco,
43831,111679,,Ahualulco,
43862,117601,,Ahualulco,
43891,96635,,Ahualulco,
43922,55895,,Ahualulco,
43952,10488,,Ahualulco,
43983,96161,,Ahualulco,
44013,95376.5,,Ahualulco,
44044,67563.5,,Ahualulco,
44075,106617.5,,Ahualulco,
44105,98877,,Ahualulco,
44136,99259,,Ahualulco,
44166,90258,,Ahualulco,
44197,91155,,Ahualulco,
44228,86606,,Ahualulco,
44256,93541.5,,Ahualulco,
44287,102346,296,Ahualulco,0.1588
44317,113216,335,Ahualulco,0.1791
44348,116178,324,Ahualulco,0.2099
44378,127933,366,Ahualulco,0.1913
44409,132617,358,Ahualulco,0.1899
44440,133241,378,Ahualulco,0.1825
44470,124650,360,Ahualulco,0.2028
44501,148597,409,Ahualulco,0.1711
44531,133967.5,377,Ahualulco,0.2122
44562,164728,22,Ahualulco,0.215130024
44593,140052,22,Ahualulco,0.221686747
44621,155926,24,Ahualulco,0.232273839
44652,135031,33,Ahualulco,0.243523316
44682,163864,26,Ahualulco,0.224096386
44713,140908,22,Ahualulco,0.208430913
44743,154420,27,Ahualulco,0.20501139
44774,175940,36,Ahualulco,0.204347826
44805,134539,24,Ahualulco,0.242268041
44835,154627,40,Ahualulco,0.228915663
44866,156152,36,Ahualulco,0.21875
44896,174489,36,Ahualulco,0.22
44927,174285,,Ahualulco,
44958,170130,,Ahualulco,
44986,173868,,Ahualulco,
44044,63441,,Chapalita,
44075,88009.5,,Chapalita,
44105,202463.5,188,Chapalita,0.38
44136,264301,358,Chapalita,0.41
44166,310508,504,Chapalita,0.4048
44197,264969.9,638,Chapalita,0.4248
44228,410401.25,764,Chapalita,0.4411
44256,589566.3,964,Chapalita,0.4575
