Sucursal,Fecha,Ingresos,Socios,% Socios Premium,Ventas,Recomendación,De Paso,Google,Instagram,Facebook,Radio,Activación,Corporativo,Otros
Vallarta,jul-22,778448.8,1302,0.386328725,87,20,55,13,4,0,0,0,3,6
Vallarta,ago-22,869789.2,1318,0.383915023,89,31,58,3,0,5,0,0,3,20
Vallarta,sep-22,871104.4,1379,0.419144307,119,32,79,9,3,3,0,0,1,7
Vallarta,oct-22,876683.4,1362,0.405286344,68,29,50,6,4,0,0,0,0,4
Vallarta,nov-22,906403.4,1362,0.411160059,69,21,46,4,4,0,0,0,2,2
Vallarta,dic-22,903065.94,1388,0.393736018,33,14,43,4,1,0,0,0,0,4
Vallarta,ene-23,893022.9,1461,0.393566051,151,56,106,6,7,4,0,0,2,13
Vallarta,feb-23,964758,1463,0.384142174,63,23,44,3,1,1,0,0,0,2
Vallarta,mar-23,959788.01,1501,0.385742838,91,21,67,6,1,1,0,0,1,9
Vallarta,abr-23,996092.12,1470,0.378911565,41,18,27,5,1,1,0,0,5,5
NH,ene-21,212584,576,0.1545,34,12,26,,,2,,,1,11
NH,feb-21,264804.75,610,0.1705,61,17,57,,,3,,,,17
NH,mar-21,396520,676,0.2027,83,17,73,,,5,,,,11
NH,abr-21,344624.5,724,0.2155,70,21,57,,,4,,,,7
NH,may-21,376793.5,762,0.2218,69,29,69,,,1,,,,4
NH,jun-21,381711.5,795,0.2201,52,21,44,,,2,,,14,14
NH,jul-21,384084,837,0.2162,71,34,59,,,5,,,1,10
NH,ago-21,399679,866,0.2321,73,29,45,,1,4,,,2,3
NH,sep-21,480726.5,918,0.2309,96,50,55,,,8,,,2,14
NH,oct-21,418223.5,951,0.2366,87,19,44,,1,1,,,5,1
NH,nov-21,445398,970,0.2351,57,25,51,,1,4,0,0,1,5
NH,dic-21,445546,977,0.2303,43,15,35,,1,2,,,,5
NH,ene-22,453453,1067,0.238987816,113,27,72,0,4,12,0,0,1,4
NH,feb-22,452159.3,1041,0.223823247,47,25,44,4,2,2,0,0,1,2
NH,mar-22,621528.6,1068,0.237827715,73,39,34,6,1,10,0,0,0,3
